"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 20, 2017","289.94","294.40","301.73","285.33","1.28K","-1.51%"
"Oct 19, 2017","294.40","295.75","300.00","290.49","0.63K","-0.46%"
"Oct 18, 2017","295.75","297.95","298.47","275.81","2.69K","-0.74%"
"Oct 17, 2017","297.95","302.00","303.50","296.00","1.83K","-1.34%"
"Oct 16, 2017","302.00","310.11","315.00","300.50","1.85K","-2.62%"
"Oct 15, 2017","310.11","315.00","317.80","290.54","2.51K","-1.55%"
"Oct 14, 2017","315.00","308.50","319.90","304.00","2.54K","2.11%"
"Oct 13, 2017","308.50","293.78","310.84","287.41","4.81K","5.01%"
"Oct 12, 2017","293.78","298.03","299.79","288.81","2.56K","-1.43%"
"Oct 11, 2017","298.03","291.74","301.69","286.05","1.44K","2.16%"
"Oct 10, 2017","291.74","281.47","295.66","278.50","2.46K","3.65%"
"Oct 09, 2017","281.47","300.00","302.15","266.68","4.59K","-6.18%"
"Oct 08, 2017","300.00","312.07","316.99","293.86","2.05K","-3.87%"
"Oct 07, 2017","312.07","307.05","315.00","300.27","0.75K","1.63%"
"Oct 06, 2017","307.05","308.38","313.00","303.00","1.21K","-0.43%"
"Oct 05, 2017","308.38","301.83","308.71","292.90","1.86K","2.17%"
"Oct 04, 2017","301.83","296.26","317.09","295.43","1.88K","1.88%"
"Oct 03, 2017","296.26","308.08","310.35","289.00","1.82K","-3.84%"
"Oct 02, 2017","308.08","317.26","323.00","305.72","1.11K","-2.89%"
"Oct 01, 2017","317.26","330.00","331.22","310.00","1.87K","-3.86%"
"Sep 30, 2017","330.00","328.20","335.02","328.20","3.00K","0.55%"
"Sep 29, 2017","328.20","340.10","344.66","318.48","3.81K","-3.50%"
"Sep 28, 2017","340.10","349.02","352.53","335.00","4.42K","-2.56%"
"Sep 27, 2017","349.02","341.31","355.66","337.50","3.59K","2.26%"
"Sep 26, 2017","341.31","347.23","356.00","338.32","2.09K","-1.70%"
"Sep 25, 2017","347.23","329.95","352.00","328.48","3.70K","5.24%"
"Sep 24, 2017","329.95","351.76","358.95","328.15","5.85K","-6.20%"
"Sep 23, 2017","351.76","341.36","359.00","338.23","2.96K","3.05%"
"Sep 22, 2017","341.36","329.00","357.71","328.82","5.38K","3.76%"
"Sep 21, 2017","329.00","342.13","369.50","320.00","11.12K","-3.84%"
"Sep 20, 2017","342.13","324.98","351.10","315.50","4.32K","5.28%"
"Sep 19, 2017","324.98","335.70","337.96","312.00","2.73K","-3.19%"
"Sep 18, 2017","335.70","312.61","340.00","312.61","4.78K","7.39%"
"Sep 17, 2017","312.61","300.21","317.00","276.13","3.00K","4.13%"
"Sep 16, 2017","300.21","287.80","304.45","274.41","3.85K","4.31%"
"Sep 15, 2017","287.80","239.20","299.79","219.00","9.33K","20.32%"
"Sep 14, 2017","239.20","297.78","302.77","237.06","5.35K","-19.67%"
"Sep 13, 2017","297.78","326.14","326.74","283.09","4.99K","-8.70%"
"Sep 12, 2017","326.14","316.99","331.74","316.20","2.26K","2.89%"
"Sep 11, 2017","316.99","323.11","335.00","314.40","2.51K","-1.89%"
"Sep 10, 2017","323.11","325.00","328.52","295.00","2.60K","-0.58%"
"Sep 09, 2017","325.00","331.01","334.05","312.00","2.08K","-1.82%"
"Sep 08, 2017","331.01","347.14","372.67","295.20","6.42K","-4.65%"
"Sep 07, 2017","347.14","349.87","353.00","331.00","2.74K","-0.78%"
"Sep 06, 2017","349.87","326.80","353.76","320.71","4.62K","7.06%"
"Sep 05, 2017","326.80","310.82","335.00","280.00","6.84K","5.14%"
"Sep 04, 2017","310.82","356.19","358.00","291.00","7.49K","-12.74%"
"Sep 03, 2017","356.19","345.86","374.11","330.33","3.36K","2.99%"
"Sep 02, 2017","345.86","395.00","401.63","320.00","9.35K","-12.44%"
"Sep 01, 2017","395.00","379.86","396.62","374.50","3.68K","3.99%"
"Aug 31, 2017","379.86","373.00","383.93","370.00","2.65K","1.84%"
