"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 07, 2017","3,394.87","3,242.00","3,447.89","3,194.06","6.38K","4.88%"
"Aug 06, 2017","3,237.00","3,248.99","3,299.00","3,177.77","5.41K","0.77%"
"Aug 05, 2017","3,212.30","2,870.04","3,349.50","2,868.00","0.02K","11.69%"
"Aug 04, 2017","2,875.97","2,797.03","2,888.20","2,771.02","5.97K","2.82%"
"Aug 03, 2017","2,797.03","2,683.00","2,805.91","2,679.10","6.07K","3.56%"
"Aug 02, 2017","2,700.90","2,724.60","2,758.92","2,650.00","-","-0.96%"
"Aug 01, 2017","2,727.03","2,872.00","2,955.00","2,608.47","11.53K","-5.80%"
"Jul 31, 2017","2,895.00","2,796.54","2,910.00","2,723.00","-","3.43%"
"Jul 30, 2017","2,799.00","2,716.00","2,799.00","2,653.87","0.00K","2.75%"
"Jul 29, 2017","2,724.00","2,800.77","2,808.98","2,680.50","0.31K","-2.93%"
"Jul 28, 2017","2,806.28","2,676.50","2,851.95","2,671.19","-","4.97%"
"Jul 27, 2017","2,673.45","2,528.00","2,690.71","2,511.17","1.67K","5.94%"
"Jul 26, 2017","2,523.60","2,563.12","2,617.01","2,416.14","9.94K","-1.61%"
"Jul 25, 2017","2,564.99","2,755.90","2,773.81","2,442.80","4.80K","-6.93%"
"Jul 24, 2017","2,755.90","2,761.20","2,805.00","2,721.39","3.71K","-0.19%"
"Jul 23, 2017","2,761.20","2,831.13","2,855.00","2,675.00","7.67K","-2.47%"
"Jul 22, 2017","2,831.10","2,670.00","2,874.89","2,651.10","8.23K","6.03%"
"Jul 21, 2017","2,670.00","2,854.88","2,870.00","2,615.00","12.13K","-6.48%"
"Jul 20, 2017","2,855.00","2,255.01","2,925.00","2,246.29","15.24K","26.61%"
"Jul 19, 2017","2,255.00","2,310.80","2,400.00","2,212.48","8.79K","-2.53%"
"Jul 18, 2017","2,313.43","2,217.17","2,400.00","2,144.94","15.02K","4.21%"
"Jul 17, 2017","2,220.00","1,919.25","2,225.09","1,905.00","0.00K","15.67%"
"Jul 16, 2017","1,919.27","1,974.04","2,040.00","1,809.00","0.02K","-2.82%"
"Jul 15, 2017","1,974.98","2,215.13","2,218.89","1,962.34","0.00K","-10.84%"
"Jul 14, 2017","2,215.14","2,341.51","2,351.89","2,133.77","0.00K","-5.40%"
"Jul 13, 2017","2,341.51","2,373.00","2,417.08","2,310.00","-","-1.36%"
"Jul 12, 2017","2,373.84","2,302.40","2,416.51","2,235.00","-","3.16%"
"Jul 11, 2017","2,301.03","2,334.75","2,403.94","2,255.84","0.00K","-1.63%"
"Jul 10, 2017","2,339.23","2,500.00","2,522.77","2,265.00","8.80K","-6.40%"
"Jul 09, 2017","2,499.12","2,545.07","2,560.42","2,494.00","-","-1.88%"
"Jul 08, 2017","2,547.02","2,502.01","2,552.64","2,470.20","-","1.80%"
"Jul 07, 2017","2,502.01","2,605.64","2,613.99","2,472.00","0.00K","-3.98%"
"Jul 06, 2017","2,605.64","2,610.74","2,619.97","2,576.46","3.53K","-0.20%"
"Jul 05, 2017","2,610.74","2,597.71","2,627.50","2,536.28","-","0.50%"
"Jul 04, 2017","2,597.71","2,548.95","2,642.12","2,546.73","-","2.00%"
"Jul 03, 2017","2,546.73","2,504.90","2,587.98","2,469.80","-","0.86%"
"Jul 02, 2017","2,525.00","2,386.81","2,525.00","2,362.68","5.72K","6.15%"
"Jul 01, 2017","2,378.70","2,451.01","2,495.86","2,366.22","4.92K","-2.71%"
"Jun 30, 2017","2,444.89","2,534.88","2,541.00","2,442.35","5.44K","-4.20%"
"Jun 29, 2017","2,552.21","2,559.82","2,579.36","2,498.06","5.28K","-0.69%"
"Jun 28, 2017","2,570.00","2,512.06","2,593.00","2,467.37","7.65K","3.21%"
"Jun 27, 2017","2,490.00","2,391.56","2,496.01","2,285.00","8.91K","2.83%"
"Jun 26, 2017","2,421.39","2,481.21","2,535.78","2,251.63","9.51K","-3.03%"
"Jun 25, 2017","2,496.99","2,555.09","2,598.60","2,448.71","5.21K","-2.27%"
"Jun 24, 2017","2,555.09","2,688.43","2,701.79","2,500.00","-","-4.50%"
"Jun 23, 2017","2,675.51","2,687.88","2,725.00","2,672.10","3.39K","-0.35%"
"Jun 22, 2017","2,685.00","2,636.03","2,724.00","2,596.28","4.75K","3.54%"
"Jun 21, 2017","2,593.08","2,706.95","2,758.67","2,573.00","6.05K","-4.14%"
"Jun 20, 2017","2,705.10","2,613.60","2,744.54","2,579.97","-","4.77%"
"Jun 19, 2017","2,582.00","2,508.00","2,587.44","2,490.00","6.44K","3.25%"
"Jun 18, 2017","2,500.72","2,642.24","2,670.16","2,467.21","0.01K","-5.52%"
"Jun 17, 2017","2,646.84","2,470.32","2,675.80","2,420.89","-","7.15%"
