"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2019","46.82","48.88","49.17","45.85","167.87K","-4.16%"
"Mar 03, 2019","48.85","49.57","50.12","48.20","115.26K","-1.45%"
"Mar 02, 2019","49.57","48.13","50.39","47.62","154.06K","2.75%"
"Mar 01, 2019","48.24","46.62","49.78","46.60","176.76K","3.48%"
"Feb 28, 2019","46.62","46.13","47.75","45.75","165.47K","1.07%"
"Feb 27, 2019","46.13","45.85","46.62","43.60","151.98K","0.54%"
"Feb 26, 2019","45.88","46.49","47.00","45.23","93.48K","-1.37%"
"Feb 25, 2019","46.51","44.76","47.85","44.64","196.19K","4.07%"
"Feb 24, 2019","44.69","52.60","54.80","43.34","476.74K","-15.02%"
"Feb 23, 2019","52.59","50.44","53.00","49.20","222.44K","4.23%"
"Feb 22, 2019","50.46","49.78","50.94","48.94","161.71K","1.46%"
"Feb 21, 2019","49.73","52.56","52.68","48.88","222.64K","-5.45%"
"Feb 20, 2019","52.60","48.11","53.44","47.30","352.66K","9.33%"
"Feb 19, 2019","48.11","48.83","50.00","47.64","214.79K","-1.61%"
"Feb 18, 2019","48.90","44.72","50.18","44.48","393.51K","9.14%"
"Feb 17, 2019","44.80","44.09","45.99","43.40","215.73K","1.63%"
"Feb 16, 2019","44.08","43.33","45.10","43.05","190.55K","1.73%"
"Feb 15, 2019","43.33","42.00","45.28","41.90","239.10K","3.34%"
"Feb 14, 2019","41.93","42.25","43.05","41.53","145.85K","-0.93%"
"Feb 13, 2019","42.33","44.72","45.49","41.27","231.38K","-5.35%"
"Feb 12, 2019","44.72","43.51","45.47","42.84","223.16K","2.78%"
"Feb 11, 2019","43.51","47.60","47.65","42.73","333.53K","-8.59%"
"Feb 10, 2019","47.60","45.34","47.96","42.90","346.89K","4.98%"
"Feb 09, 2019","45.34","43.81","46.46","42.99","325.50K","3.46%"
"Feb 08, 2019","43.83","33.65","45.63","33.29","904.65K","30.25%"
"Feb 07, 2019","33.65","33.27","34.00","33.22","71.83K","1.14%"
"Feb 06, 2019","33.27","34.76","34.91","32.70","163.01K","-4.28%"
"Feb 05, 2019","34.76","34.39","34.85","34.01","80.60K","1.07%"
"Feb 04, 2019","34.39","33.83","34.86","33.78","102.88K","1.64%"
"Feb 03, 2019","33.83","35.13","35.45","33.26","190.86K","-3.68%"
"Feb 02, 2019","35.13","33.34","35.51","33.18","159.02K","5.37%"
"Feb 01, 2019","33.34","32.05","34.14","31.27","206.13K","4.19%"
"Jan 31, 2019","32.00","32.33","33.05","31.69","77.22K","-1.03%"
"Jan 30, 2019","32.33","31.42","32.62","31.09","90.06K","2.90%"
"Jan 29, 2019","31.42","31.55","31.84","30.61","85.99K","-0.27%"
"Jan 28, 2019","31.51","32.61","32.94","30.49","168.60K","-3.36%"
"Jan 27, 2019","32.60","33.40","33.75","31.79","157.70K","-2.39%"
"Jan 26, 2019","33.40","33.19","34.69","33.13","132.81K","0.46%"
"Jan 25, 2019","33.25","33.24","33.68","32.42","101.89K","0.00%"
"Jan 24, 2019","33.24","32.30","33.81","31.53","145.12K","2.91%"
"Jan 23, 2019","32.30","32.06","32.80","31.89","91.39K","0.76%"
"Jan 22, 2019","32.06","31.30","32.66","29.91","230.89K","2.44%"
"Jan 21, 2019","31.30","31.06","31.62","30.78","84.04K","1.06%"
"Jan 20, 2019","30.97","32.89","33.83","30.67","163.12K","-5.84%"
"Jan 19, 2019","32.89","31.45","34.24","31.45","158.56K","4.57%"
"Jan 18, 2019","31.45","32.31","32.40","30.98","67.65K","-2.70%"
"Jan 17, 2019","32.33","32.02","32.41","30.52","134.54K","1.08%"
"Jan 16, 2019","31.98","31.64","32.70","31.38","81.37K","1.05%"
"Jan 15, 2019","31.65","32.77","33.28","30.95","137.80K","-3.51%"
"Jan 14, 2019","32.80","30.51","33.70","30.41","147.82K","7.51%"
"Jan 13, 2019","30.51","32.63","33.64","30.21","147.34K","-6.65%"
"Jan 12, 2019","32.69","32.54","33.01","32.17","74.87K","0.55%"
