Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,54.200001,57.970001,54.099998,57.689999,53.162956,19906000
2016-04-01,57.000000,59.560001,56.220001,58.270000,53.908226,14544800
2016-05-01,58.450001,58.939999,56.639999,58.650002,54.259773,7907500
2016-06-01,58.459999,60.000000,54.750000,58.070000,53.723194,18085300
2016-07-01,58.119999,60.549999,56.930000,60.480000,56.407013,10151800
2016-08-01,60.410000,61.580002,59.610001,60.689999,56.602875,12168400
2016-09-01,60.799999,61.990002,59.189999,60.849998,56.752102,11549000
2016-10-01,60.689999,60.980000,59.080002,59.650002,55.918610,12883100
2016-11-01,59.770000,60.709999,58.400002,60.360001,56.584202,13339000
2016-12-01,60.360001,62.610001,59.970001,61.000000,57.184162,26528200
2017-01-01,61.450001,63.389999,61.240002,62.830002,59.338844,12630800
2017-02-01,63.070000,65.190002,62.740002,64.519997,60.934937,21758600
2017-03-01,65.040001,65.959999,64.239998,65.220001,61.596050,23085000
2017-04-01,65.290001,66.620003,64.470001,66.279999,62.839611,13028000
2017-05-01,66.470001,67.849998,66.099998,67.570000,64.062645,18571400
2017-06-01,67.580002,68.620003,67.019997,67.529999,64.024727,24392400
2017-07-01,67.769997,69.610001,67.019997,69.320000,66.175842,11476600
2017-08-01,69.680000,69.910004,68.160004,69.610001,66.452690,16977700
2017-09-01,69.830002,71.099998,69.019997,70.720001,67.512344,16368000
2017-10-01,70.709999,72.290001,70.650002,72.209999,69.282845,13943900
2017-11-01,72.500000,73.830002,71.330002,73.580002,70.597313,15100300
2017-12-01,73.500000,74.699997,72.669998,74.260002,71.249756,18062200
2018-01-01,74.550003,79.739998,74.510002,78.330002,75.653976,27138800
2018-02-01,78.080002,78.550003,70.559998,74.849998,72.292870,53242200
2018-03-01,74.830002,76.980003,72.250000,73.629997,71.114555,25067400
2018-04-01,73.389999,75.550003,71.599998,73.940002,71.668724,22642200
2018-05-01,73.889999,76.059998,72.739998,74.360001,72.075821,18385600
2018-06-01,74.849998,76.360001,72.389999,73.370003,71.116234,24950900
2018-07-01,72.650002,76.050003,72.550003,75.480003,73.707130,19171300
2018-08-01,75.430000,76.830002,73.290001,76.129997,74.341873,35475800
2018-09-01,75.650002,76.970001,74.360001,75.830002,74.048912,28486600
2018-10-01,76.260002,76.320000,67.480003,69.900002,68.582565,58978200
2018-11-01,70.410004,72.650002,68.379997,71.110001,69.769760,48684500
2018-12-01,72.360001,72.379997,62.139999,65.459999,64.226250,104539900
2019-01-01,64.519997,70.870003,64.199997,70.690002,69.891602,64270200
2019-02-01,70.769997,73.320000,69.889999,72.680000,71.859131,53058200
2019-03-01,73.099998,74.309998,71.080002,73.169998,72.343597,65571400
2019-04-01,73.760002,75.769997,73.760002,75.709999,75.145271,36114300
2019-05-01,75.910004,75.989998,70.919998,71.190002,70.658997,51576200
2019-06-01,71.339996,74.849998,71.010002,73.419998,72.872353,22797200
2019-06-17,73.400002,73.610001,73.339996,73.419998,73.419998,685632
