date,open,high,low,close,volume,dividend,split
2017-10-24,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2017-10-25,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2017-10-26,11.0600004196167,11.0600004196167,11.0600004196167,11.0600004196167,0,0,1
2017-10-27,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2017-10-30,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2017-10-31,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2017-11-01,11.100000381469727,11.100000381469727,11.100000381469727,11.100000381469727,0,0,1
2017-11-02,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-11-03,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-11-06,11.100000381469727,11.100000381469727,11.100000381469727,11.100000381469727,0,0,1
2017-11-07,11.100000381469727,11.100000381469727,11.100000381469727,11.100000381469727,0,0,1
2017-11-08,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-11-09,11.0600004196167,11.0600004196167,11.0600004196167,11.0600004196167,0,0,1
2017-11-10,11.050000190734863,11.050000190734863,11.050000190734863,11.050000190734863,0,0,1
2017-11-13,11.029999732971191,11.029999732971191,11.029999732971191,11.029999732971191,0,0,1
2017-11-14,11.010000228881836,11.010000228881836,11.010000228881836,11.010000228881836,0,0,1
2017-11-15,10.989999771118164,10.989999771118164,10.989999771118164,10.989999771118164,0,0,1
2017-11-16,11.029999732971191,11.029999732971191,11.029999732971191,11.029999732971191,0,0,1
2017-11-17,11.039999961853027,11.039999961853027,11.039999961853027,11.039999961853027,0,0,1
2017-11-20,11.039999961853027,11.039999961853027,11.039999961853027,11.039999961853027,0,0,1
2017-11-21,11.0600004196167,11.0600004196167,11.0600004196167,11.0600004196167,0,0,1
2017-11-22,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2017-11-24,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2017-11-27,11.0600004196167,11.0600004196167,11.0600004196167,11.0600004196167,0,0,1
2017-11-28,11.069999694824219,11.069999694824219,11.069999694824219,11.069999694824219,0,0,1
2017-11-29,11.0600004196167,11.0600004196167,11.0600004196167,11.0600004196167,0,0,1
2017-11-30,11.069999694824219,11.069999694824219,11.069999694824219,11.069999694824219,0,0,1
2017-12-01,11.069999694824219,11.069999694824219,11.069999694824219,11.069999694824219,0,0,1
2017-12-04,11.069999694824219,11.069999694824219,11.069999694824219,11.069999694824219,0,0,1
2017-12-05,11.069999694824219,11.069999694824219,11.069999694824219,11.069999694824219,0,0,1
2017-12-06,11.050000190734863,11.050000190734863,11.050000190734863,11.050000190734863,0,0,1
2017-12-07,11.0600004196167,11.0600004196167,11.0600004196167,11.0600004196167,0,0,1
2017-12-08,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2017-12-11,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-12-12,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-12-13,11.100000381469727,11.100000381469727,11.100000381469727,11.100000381469727,0,0,1
2017-12-14,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-12-15,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-12-18,11.119999885559082,11.119999885559082,11.119999885559082,11.119999885559082,0,0,1
2017-12-19,11.100000381469727,11.100000381469727,11.100000381469727,11.100000381469727,0,0,1
2017-12-20,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-12-21,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2017-12-22,11.069999694824219,11.069999694824219,11.069999694824219,11.069999694824219,0,0,1
2017-12-26,11.069999694824219,11.069999694824219,11.069999694824219,11.069999694824219,0,0,1
2017-12-27,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2017-12-28,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2017-12-29,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2018-01-02,11.09000015258789,11.09000015258789,11.09000015258789,11.09000015258789,0,0,1
2018-01-03,11.130000114440918,11.130000114440918,11.130000114440918,11.130000114440918,0,0,1
2018-01-04,11.15999984741211,11.15999984741211,11.15999984741211,11.15999984741211,0,0,1
2018-01-05,11.170000076293945,11.170000076293945,11.170000076293945,11.170000076293945,0,0,1
2018-01-08,11.180000305175781,11.180000305175781,11.180000305175781,11.180000305175781,0,0,1
2018-01-09,11.180000305175781,11.180000305175781,11.180000305175781,11.180000305175781,0,0,1
2018-01-10,11.15999984741211,11.15999984741211,11.15999984741211,11.15999984741211,0,0,1
2018-01-11,11.180000305175781,11.180000305175781,11.180000305175781,11.180000305175781,0,0,1
2018-01-12,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0,0,1
2018-01-16,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0,0,1
2018-01-17,11.210000038146973,11.210000038146973,11.210000038146973,11.210000038146973,0,0,1
2018-01-18,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0,0,1
2018-01-19,11.220000267028809,11.220000267028809,11.220000267028809,11.220000267028809,0,0,1
2018-01-22,11.239999771118164,11.239999771118164,11.239999771118164,11.239999771118164,0,0,1
2018-01-23,11.25,11.25,11.25,11.25,0,0,1
2018-01-24,11.25,11.25,11.25,11.25,0,0,1
2018-01-25,11.239999771118164,11.239999771118164,11.239999771118164,11.239999771118164,0,0,1
2018-01-26,11.260000228881836,11.260000228881836,11.260000228881836,11.260000228881836,0,0,1
2018-01-29,11.220000267028809,11.220000267028809,11.220000267028809,11.220000267028809,0,0,1
2018-01-30,11.170000076293945,11.170000076293945,11.170000076293945,11.170000076293945,0,0,1
2018-01-31,11.170000076293945,11.170000076293945,11.170000076293945,11.170000076293945,0,0,1
2018-02-01,11.15999984741211,11.15999984741211,11.15999984741211,11.15999984741211,0,0,1
2018-02-02,11.079999923706055,11.079999923706055,11.079999923706055,11.079999923706055,0,0,1
2018-02-05,11.020000457763672,11.020000457763672,11.020000457763672,11.020000457763672,0,0,1
2018-02-06,10.989999771118164,10.989999771118164,10.989999771118164,10.989999771118164,0,0,1
2018-02-07,11.010000228881836,11.010000228881836,11.010000228881836,11.010000228881836,0,0,1
2018-02-08,10.920000076293945,10.920000076293945,10.920000076293945,10.920000076293945,0,0,1
2018-02-09,10.880000114440918,10.880000114440918,10.880000114440918,10.880000114440918,0,0,1
2018-02-12,10.930000305175781,10.930000305175781,10.930000305175781,10.930000305175781,0,0,1
2018-02-13,10.920000076293945,10.920000076293945,10.920000076293945,10.920000076293945,0,0,1
2018-02-14,10.9399995803833,10.9399995803833,10.9399995803833,10.9399995803833,0,0,1
2018-02-15,10.970000267028809,10.970000267028809,10.970000267028809,10.970000267028809,0,0,1
2018-02-16,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,0,0,1
2018-02-20,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,0,0,1
2018-02-21,10.9399995803833,10.9399995803833,10.9399995803833,10.9399995803833,0,0,1
2018-02-22,10.930000305175781,10.930000305175781,10.930000305175781,10.930000305175781,0,0,1
2018-02-23,10.970000267028809,10.970000267028809,10.970000267028809,10.970000267028809,0,0,1
2018-02-26,11.0,11.0,11.0,11.0,0,0,1
2018-02-27,10.949999809265137,10.949999809265137,10.949999809265137,10.949999809265137,0,0,1
2018-02-28,10.920000076293945,10.920000076293945,10.920000076293945,10.920000076293945,0,0,1
2018-03-01,10.890000343322754,10.890000343322754,10.890000343322754,10.890000343322754,0,0,1
2018-03-02,10.880000114440918,10.880000114440918,10.880000114440918,10.880000114440918,0,0,1
2018-03-05,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,0,0,1
2018-03-06,10.90999984741211,10.90999984741211,10.90999984741211,10.90999984741211,0,0,1
2018-03-07,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,0,0,1
2018-03-08,10.920000076293945,10.920000076293945,10.920000076293945,10.920000076293945,0,0,1
2018-03-09,10.9399995803833,10.9399995803833,10.9399995803833,10.9399995803833,0,0,1
2018-03-12,10.949999809265137,10.949999809265137,10.949999809265137,10.949999809265137,0,0,1
2018-03-13,10.930000305175781,10.930000305175781,10.930000305175781,10.930000305175781,0,0,1
2018-03-14,10.90999984741211,10.90999984741211,10.90999984741211,10.90999984741211,0,0,1
2018-03-15,10.890000343322754,10.890000343322754,10.890000343322754,10.890000343322754,0,0,1
2018-03-16,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,0,0,1
2018-03-19,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,0,0,1
2018-03-20,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,0,0,1
2018-03-21,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,0,0,1
2018-03-22,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-03-23,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,0,0,1
2018-03-26,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-03-27,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-03-28,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0,1
2018-03-29,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-04-02,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0,1
2018-04-03,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-04-04,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-04-05,10.829999923706055,10.829999923706055,10.829999923706055,10.829999923706055,0,0,1
2018-04-06,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-04-09,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-04-10,10.84000015258789,10.84000015258789,10.84000015258789,10.84000015258789,0,0,1
2018-04-11,10.84000015258789,10.84000015258789,10.84000015258789,10.84000015258789,0,0,1
2018-04-12,10.84000015258789,10.84000015258789,10.84000015258789,10.84000015258789,0,0,1
2018-04-13,10.84000015258789,10.84000015258789,10.84000015258789,10.84000015258789,0,0,1
2018-04-16,10.869999885559082,10.869999885559082,10.869999885559082,10.869999885559082,0,0,1
2018-04-17,10.890000343322754,10.890000343322754,10.890000343322754,10.890000343322754,0,0,1
2018-04-18,10.880000114440918,10.880000114440918,10.880000114440918,10.880000114440918,0,0,1
2018-04-19,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,0,0,1
2018-04-20,10.829999923706055,10.829999923706055,10.829999923706055,10.829999923706055,0,0,1
2018-04-23,10.819999694824219,10.819999694824219,10.819999694824219,10.819999694824219,0,0,1
2018-04-24,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-04-25,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-04-26,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-04-27,10.8100004196167,10.8100004196167,10.8100004196167,10.8100004196167,0,0,1
2018-04-30,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-05-01,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-05-02,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0,1
2018-05-03,10.75,10.75,10.75,10.75,0,0,1
2018-05-04,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0,1
2018-05-07,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0,1
2018-05-08,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0,1
2018-05-09,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-05-10,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-05-11,10.8100004196167,10.8100004196167,10.8100004196167,10.8100004196167,0,0,1
2018-05-14,10.819999694824219,10.819999694824219,10.819999694824219,10.819999694824219,0,0,1
2018-05-15,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-05-16,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-05-17,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-05-18,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-05-21,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-05-22,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-05-23,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-05-24,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-05-25,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0,1
2018-05-29,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0,1
2018-05-30,10.75,10.75,10.75,10.75,0,0,1
2018-05-31,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,0,0,1
2018-06-01,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-06-04,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-06-05,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-06-06,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-06-07,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-06-08,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-06-11,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-06-12,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-06-13,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-06-14,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-06-15,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0,1
2018-06-18,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-06-19,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0,1
2018-06-20,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,0,0,1
2018-06-21,10.710000038146973,10.710000038146973,10.710000038146973,10.710000038146973,0,0,1
2018-06-22,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0,1
2018-06-25,10.680000305175781,10.680000305175781,10.680000305175781,10.680000305175781,0,0,1
2018-06-26,10.6899995803833,10.6899995803833,10.6899995803833,10.6899995803833,0,0,1
2018-06-27,10.65999984741211,10.65999984741211,10.65999984741211,10.65999984741211,0,0,1
2018-06-28,10.649999618530273,10.649999618530273,10.649999618530273,10.649999618530273,0,0,1
2018-06-29,10.65999984741211,10.65999984741211,10.65999984741211,10.65999984741211,0,0,1
2018-07-02,10.640000343322754,10.640000343322754,10.640000343322754,10.640000343322754,0,0,1
2018-07-03,10.649999618530273,10.649999618530273,10.649999618530273,10.649999618530273,0,0,1
2018-07-05,10.680000305175781,10.680000305175781,10.680000305175781,10.680000305175781,0,0,1
2018-07-06,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,0,0,1
2018-07-09,10.720000267028809,10.720000267028809,10.720000267028809,10.720000267028809,0,0,1
2018-07-10,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0,1
2018-07-11,10.6899995803833,10.6899995803833,10.6899995803833,10.6899995803833,0,0,1
2018-07-12,10.720000267028809,10.720000267028809,10.720000267028809,10.720000267028809,0,0,1
2018-07-13,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0,1
2018-07-16,10.720000267028809,10.720000267028809,10.720000267028809,10.720000267028809,0,0,1
2018-07-17,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0,1
2018-07-18,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0,1
2018-07-19,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0,1
2018-07-20,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,0,0,1
2018-07-23,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0,1
2018-07-24,10.75,10.75,10.75,10.75,0,0,1
2018-07-25,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-07-26,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-07-27,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-07-30,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-07-31,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-08-01,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-08-02,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-08-03,10.8100004196167,10.8100004196167,10.8100004196167,10.8100004196167,0,0,1
2018-08-06,10.8100004196167,10.8100004196167,10.8100004196167,10.8100004196167,0,0,1
2018-08-07,10.819999694824219,10.819999694824219,10.819999694824219,10.819999694824219,0,0,1
