Date;Price
21 2017 00:00:00 GMT+0000;,7589.84,2.
22 2017 00:00:00 GMT+0000;,7557.89,-0
23 2017 00:00:00 GMT+0000;,7492.03,-0
24 2017 00:00:00 GMT+0000;,7350.36,-1
25 2017 00:00:00 GMT+0000;,7144.76,-2
26 2017 00:00:00 GMT+0000;,7320.29,2.
27 2017 00:00:00 GMT+0000;,7450.76,1.
28 2017 00:00:00 GMT+0000;,7382.89,-0
29 2017 00:00:00 GMT+0000;,7370.34,-0
30 2017 00:00:00 GMT+0000;,7786.33,5.
31 2017 00:00:00 GMT+0000;,7789.05,0.
01 2017 00:00:00 GMT+0000;,8010.95,2.
02 2017 00:00:00 GMT+0000;,8258.06,3.
03 2017 00:00:00 GMT+0000;,8498.25,2.
04 2017 00:00:00 GMT+0000;,8798.26,3.
05 2017 00:00:00 GMT+0000;,8931.86,1.
06 2017 00:00:00 GMT+0000;,8916.15,-0
07 2017 00:00:00 GMT+0000;,8569.96,-3
08 2017 00:00:00 GMT+0000;,8717.55,1.
09 2017 00:00:00 GMT+0000;,9154.45,5.
10 2017 00:00:00 GMT+0000;,9002.65,-1
11 2017 00:00:00 GMT+0000;,8643.64,-3
12 2017 00:00:00 GMT+0000;,8867.78,2.
13 2017 00:00:00 GMT+0000;,8513.45,-4
14 2017 00:00:00 GMT+0000;,9062.57,6.
15 2017 00:00:00 GMT+0000;,9146.46,0.
16 2017 00:00:00 GMT+0000;,9656.05,5.
17 2017 00:00:00 GMT+0000;,9928.71,2.
18 2017 00:00:00 GMT+0000;,10064.56,1
19 2017 00:00:00 GMT+0000;,10291.16,2
20 2017 00:00:00 GMT+0000;,10480.99,1
21 2017 00:00:00 GMT+0000;,10821.91,3
22 2017 00:00:00 GMT+0000;,10585.1,-2
23 2017 00:00:00 GMT+0000;,10988.43,3
24 2017 00:00:00 GMT+0000;,11197.48,1
25 2017 00:00:00 GMT+0000;,11644.08,3
26 2017 00:00:00 GMT+0000;,12135.1,4.
27 2017 00:00:00 GMT+0000;,12650.31,4
28 2017 00:00:00 GMT+0000;,13027.77,2
29 2017 00:00:00 GMT+0000;,13195.04,1
30 2017 00:00:00 GMT+0000;,12697.47,-
01 2017 00:00:00 GMT+0000;,12780.7,0.
02 2017 00:00:00 GMT+0000;,13913.63,8
03 2017 00:00:00 GMT+0000;,13876.19,-
04 2017 00:00:00 GMT+0000;,14284.94,2
05 2017 00:00:00 GMT+0000;,14680.19,2
06 2017 00:00:00 GMT+0000;,14555.16,-
07 2017 00:00:00 GMT+0000;,16129.15,1
08 2017 00:00:00 GMT+0000;,18564.9,15
09 2017 00:00:00 GMT+0000;,18352.75,-
10 2017 00:00:00 GMT+0000;,17601.41,-
11 2017 00:00:00 GMT+0000;,17325.48,-
12 2017 00:00:00 GMT+0000;,19392.14,1
13 2017 00:00:00 GMT+0000;,21544.95,1
14 2017 00:00:00 GMT+0000;,21032.95,-
15 2017 00:00:00 GMT+0000;,22272.71,5
16 2017 00:00:00 GMT+0000;,22711.79,1
17 2017 00:00:00 GMT+0000;,24372.69,7
18 2017 00:00:00 GMT+0000;,23752.81,-
19 2017 00:00:00 GMT+0000;,25031,5.38
20 2017 00:00:00 GMT+0000;,24509.69,-
21 2017 00:00:00 GMT+0000;,24325.98,-
22 2017 00:00:00 GMT+0000;,23930.58,-
23 2017 00:00:00 GMT+0000;,20981.49,-
24 2017 00:00:00 GMT+0000;,22431.61,6
25 2017 00:00:00 GMT+0000;,21260.7,-5
26 2017 00:00:00 GMT+0000;,21364.18,0
27 2017 00:00:00 GMT+0000;,23241.37,8
28 2017 00:00:00 GMT+0000;,22881.27,-
29 2017 00:00:00 GMT+0000;,21837.14,-
30 2017 00:00:00 GMT+0000;,23575.3,7.
31 2017 00:00:00 GMT+0000;,21211.12,-
01 2018 00:00:00 GMT+0000;,22745.54,7
02 2018 00:00:00 GMT+0000;,22633.49,-
03 2018 00:00:00 GMT+0000;,25390.14,1
04 2018 00:00:00 GMT+0000;,26670.96,5
05 2018 00:00:00 GMT+0000;,26525.44,-
06 2018 00:00:00 GMT+0000;,27615.65,4
07 2018 00:00:00 GMT+0000;,28551.62,3
08 2018 00:00:00 GMT+0000;,28554.48,0
09 2018 00:00:00 GMT+0000;,26660.2,-6
10 2018 00:00:00 GMT+0000;,26203.41,-
11 2018 00:00:00 GMT+0000;,26545.07,1
12 2018 00:00:00 GMT+0000;,24111.29,-
13 2018 00:00:00 GMT+0000;,25574.71,6
14 2018 00:00:00 GMT+0000;,26592.04,3
15 2018 00:00:00 GMT+0000;,25535.98,-
16 2018 00:00:00 GMT+0000;,24608.17,-
17 2018 00:00:00 GMT+0000;,20015.95,-
18 2018 00:00:00 GMT+0000;,19782.95,-
19 2018 00:00:00 GMT+0000;,20375.14,2
20 2018 00:00:00 GMT+0000;,20684.16,1
21 2018 00:00:00 GMT+0000;,22654.66,9
22 2018 00:00:00 GMT+0000;,20289.92,-
23 2018 00:00:00 GMT+0000;,19155.94,-
24 2018 00:00:00 GMT+0000;,19105.46,-
25 2018 00:00:00 GMT+0000;,20020.29,4
26 2018 00:00:00 GMT+0000;,19620.89,-
27 2018 00:00:00 GMT+0000;,19372.78,-
28 2018 00:00:00 GMT+0000;,19878.17,2
29 2018 00:00:00 GMT+0000;,21125.12,6
30 2018 00:00:00 GMT+0000;,20133.7,-4
31 2018 00:00:00 GMT+0000;,18014.08,-
01 2018 00:00:00 GMT+0000;,18422.28,2
02 2018 00:00:00 GMT+0000;,16334.58,-
03 2018 00:00:00 GMT+0000;,15473.95,-
04 2018 00:00:00 GMT+0000;,16420.74,6
05 2018 00:00:00 GMT+0000;,14305.09,-
06 2018 00:00:00 GMT+0000;,11930.5,-1
07 2018 00:00:00 GMT+0000;,13419.31,1
08 2018 00:00:00 GMT+0000;,13009.9,-3
09 2018 00:00:00 GMT+0000;,14334.81,1
10 2018 00:00:00 GMT+0000;,15428.91,7
11 2018 00:00:00 GMT+0000;,15285.73,-
12 2018 00:00:00 GMT+0000;,14467.61,-
13 2018 00:00:00 GMT+0000;,15697.15,8
14 2018 00:00:00 GMT+0000;,15121.24,-
15 2018 00:00:00 GMT+0000;,16954.05,1
16 2018 00:00:00 GMT+0000;,17426.09,2
17 2018 00:00:00 GMT+0000;,17770.61,1
18 2018 00:00:00 GMT+0000;,18915.54,6
19 2018 00:00:00 GMT+0000;,17600.21,-
20 2018 00:00:00 GMT+0000;,18553.16,5
21 2018 00:00:00 GMT+0000;,18015.84,-
22 2018 00:00:00 GMT+0000;,16862.85,-
23 2018 00:00:00 GMT+0000;,15880.44,-
24 2018 00:00:00 GMT+0000;,16568.58,4
25 2018 00:00:00 GMT+0000;,15904.85,-
26 2018 00:00:00 GMT+0000;,15903.09,-
27 2018 00:00:00 GMT+0000;,16769.99,5
28 2018 00:00:00 GMT+0000;,17005.42,1
01 2018 00:00:00 GMT+0000;,16485.99,-
02 2018 00:00:00 GMT+0000;,17243.96,4
03 2018 00:00:00 GMT+0000;,17203.39,-
04 2018 00:00:00 GMT+0000;,17556.21,2
05 2018 00:00:00 GMT+0000;,17880.15,1
06 2018 00:00:00 GMT+0000;,17574.89,-
07 2018 00:00:00 GMT+0000;,16618.01,-
08 2018 00:00:00 GMT+0000;,15422.8,-7
09 2018 00:00:00 GMT+0000;,14435.29,-
10 2018 00:00:00 GMT+0000;,14622.24,1
11 2018 00:00:00 GMT+0000;,13806.46,-
12 2018 00:00:00 GMT+0000;,14867.22,7
13 2018 00:00:00 GMT+0000;,14195.28,-
14 2018 00:00:00 GMT+0000;,14164.42,-
15 2018 00:00:00 GMT+0000;,12646.63,-
16 2018 00:00:00 GMT+0000;,12655.52,0
17 2018 00:00:00 GMT+0000;,12625.12,-
18 2018 00:00:00 GMT+0000;,11864.89,-
19 2018 00:00:00 GMT+0000;,12161.08,2
20 2018 00:00:00 GMT+0000;,12865.36,5
21 2018 00:00:00 GMT+0000;,13189.41,2
22 2018 00:00:00 GMT+0000;,13144.25,-
23 2018 00:00:00 GMT+0000;,12809.98,-
24 2018 00:00:00 GMT+0000;,13003.64,1
25 2018 00:00:00 GMT+0000;,12451.29,-
26 2018 00:00:00 GMT+0000;,12415.31,-
27 2018 00:00:00 GMT+0000;,11771.98,-
28 2018 00:00:00 GMT+0000;,11189.23,-
29 2018 00:00:00 GMT+0000;,11311.91,1
30 2018 00:00:00 GMT+0000;,9977.68,-1
31 2018 00:00:00 GMT+0000;,9812.55,-1
01 2018 00:00:00 GMT+0000;,9884.14,0.
02 2018 00:00:00 GMT+0000;,9624.68,-2
03 2018 00:00:00 GMT+0000;,9936.9,3.2
04 2018 00:00:00 GMT+0000;,10605.18,6
05 2018 00:00:00 GMT+0000;,9641.02,-9
06 2018 00:00:00 GMT+0000;,9666.5,0.2
07 2018 00:00:00 GMT+0000;,9362,-3.15
08 2018 00:00:00 GMT+0000;,9731.29,3.
09 2018 00:00:00 GMT+0000;,9961.01,2.
10 2018 00:00:00 GMT+0000;,9699.66,-2
11 2018 00:00:00 GMT+0000;,9838.22,1.
12 2018 00:00:00 GMT+0000;,10267.14,4
13 2018 00:00:00 GMT+0000;,11699.38,1
14 2018 00:00:00 GMT+0000;,11655.69,-
15 2018 00:00:00 GMT+0000;,11782.35,1
16 2018 00:00:00 GMT+0000;,12426.27,5
17 2018 00:00:00 GMT+0000;,11954.23,-
18 2018 00:00:00 GMT+0000;,11809.61,-
19 2018 00:00:00 GMT+0000;,12514.89,5
20 2018 00:00:00 GMT+0000;,13032.24,4
21 2018 00:00:00 GMT+0000;,14303.23,9
22 2018 00:00:00 GMT+0000;,14124.47,-
23 2018 00:00:00 GMT+0000;,14131.85,0
24 2018 00:00:00 GMT+0000;,14621.98,3
25 2018 00:00:00 GMT+0000;,15766.34,7
26 2018 00:00:00 GMT+0000;,14217.38,-
27 2018 00:00:00 GMT+0000;,15096.94,6
28 2018 00:00:00 GMT+0000;,14580.89,-
29 2018 00:00:00 GMT+0000;,15422.83,5
30 2018 00:00:00 GMT+0000;,15740.95,2
01 2018 00:00:00 GMT+0000;,15125.07,-
02 2018 00:00:00 GMT+0000;,15074.2,-0
03 2018 00:00:00 GMT+0000;,15412.58,2
04 2018 00:00:00 GMT+0000;,16248.35,5
05 2018 00:00:00 GMT+0000;,16235.79,-
06 2018 00:00:00 GMT+0000;,16740.45,3
07 2018 00:00:00 GMT+0000;,16317.14,-
08 2018 00:00:00 GMT+0000;,15789.73,-
09 2018 00:00:00 GMT+0000;,15502.08,-
10 2018 00:00:00 GMT+0000;,15598.68,0
11 2018 00:00:00 GMT+0000;,14964.25,-
12 2018 00:00:00 GMT+0000;,13801.9,-7
13 2018 00:00:00 GMT+0000;,14007.95,1
14 2018 00:00:00 GMT+0000;,14533.38,3
15 2018 00:00:00 GMT+0000;,14432.79,-
16 2018 00:00:00 GMT+0000;,13947.07,-
17 2018 00:00:00 GMT+0000;,13801.33,-
18 2018 00:00:00 GMT+0000;,13158.65,-
19 2018 00:00:00 GMT+0000;,13513.79,2
20 2018 00:00:00 GMT+0000;,13492.5,-0
21 2018 00:00:00 GMT+0000;,14019.55,3
22 2018 00:00:00 GMT+0000;,13682.58,-
23 2018 00:00:00 GMT+0000;,12838.31,-
24 2018 00:00:00 GMT+0000;,11845.96,-
25 2018 00:00:00 GMT+0000;,12289.21,3
26 2018 00:00:00 GMT+0000;,11966.33,-
27 2018 00:00:00 GMT+0000;,11853.33,-
28 2018 00:00:00 GMT+0000;,11784,-0.5
29 2018 00:00:00 GMT+0000;,11023.52,-
30 2018 00:00:00 GMT+0000;,11839.15,7
31 2018 00:00:00 GMT+0000;,11698.14,-
01 2018 00:00:00 GMT+0000;,11940.27,2
02 2018 00:00:00 GMT+0000;,12003.76,0
03 2018 00:00:00 GMT+0000;,12306.52,2
04 2018 00:00:00 GMT+0000;,12661.57,2
05 2018 00:00:00 GMT+0000;,12179.73,-
06 2018 00:00:00 GMT+0000;,12452.11,2
07 2018 00:00:00 GMT+0000;,12458.59,0
