Date;Paradigm;BTC
2017-09-10;11997066;7175000
2017-09-11;11824753;7012796
2017-09-12;11772163;6991871
2017-09-13;11109653;6513557
2017-09-14;9762090;5686198
2017-09-15;10661584;6230868
2017-09-16;10580039;6203285
2017-09-17;10707650;6291086
2017-09-18;11505832;6702658
2017-09-19;11197458;6531890
2017-09-20;11300571;6624810
2017-09-21;10523971;6113678
2017-09-22;10507999;6046117
2017-09-23;11014296;6321429
2017-09-24;10790634;6138618
2017-09-25;11374566;6587190
2017-09-26;11267716;6537628
2017-09-27;11882074;6948915
2017-09-28;11832526;6966027
2017-09-29;11751163;6979158
2017-09-30;12137750;7257498
2017-10-01;12141225;7252630
2017-10-02;12145892;7326498
2017-10-03;11930574;7163341
2017-10-04;11787430;7025208
2017-10-05;12072623;7269943
2017-10-06;12199655;7270395
2017-10-07;12218078;7259572
2017-10-08;12617410;7666059
2017-10-09;12941816;8099594
2017-10-10;13001968;8145577
2017-10-11;12966775;8074938
2017-10-12;13800597;8893097
2017-10-13;14644812;9398826
2017-10-14;14798501;9532794
2017-10-15;14481541;9241022
2017-10-16;14746397;9525618
2017-10-17;14371520;9333757
2017-10-18;14249619;9234849
2017-10-19;14497334;9537310
2017-10-20;14918447;9990516
2017-10-21;15099297;10200241
2017-10-22;14751193;9838332
2017-10-23;14713769;9894117
2017-10-24;14392450;9365539
2017-10-25;14493166;9498302
2017-10-26;14712578;9772009
2017-10-27;14616573;9643678
2017-10-28;14579969;9627202
2017-10-29;15275641;10354131
2017-10-30;15178537;10204322
2017-10-31;15524881;10667665
2017-11-01;15656941;11006473
2017-11-02;16273933;11807721
2017-11-03;16691558;12102437
2017-11-04;16980091;12503538
2017-11-05;16817953;12349665
2017-11-06;16496655;11937942
2017-11-07;16353283;11846829
2017-11-08;16799253;12145192
2017-11-09;16771492;11923574
2017-11-10;15719532;11023117
2017-11-11;15769522;10822491
2017-11-12;14898588;9893983
2017-11-13;15840390;10906144
2017-11-14;16197667;11018182
2017-11-15;17136655;12227640
2017-11-16;17937766;13202767
2017-11-17;17656563;12859860
2017-11-18;18059025;13109647
2017-11-19;18436383;13448639
2017-11-20;18922288;13839921
2017-11-21;18667942;13652192
2017-11-22;19008389;13749712
2017-11-23;19259455;13674406
2017-11-24;20213541;13840055
2017-11-25;20777775;14624559
2017-11-26;21790975;15782062
2017-11-27;22167701;16183530
2017-11-28;22468141;16674958
2017-11-29;22313219;17187127
2017-11-30;21627012;16158423
2017-12-01;23668938;18224244
2017-12-02;23773895;18433334
2017-12-03;23886800;18508606
2017-12-04;24548924;19236238
2017-12-05;24805105;19754947
2017-12-06;26566248;22509744
2017-12-07;31067406;28017982
2017-12-08;30748755;27204255
2017-12-09;29401147;25256344
2017-12-10;28667738;24860864
2017-12-11;33007813;28854357
2017-12-12;34955057;29397973
2017-12-13;34822012;28352659
2017-12-14;34496622;28017998
2017-12-15;35681511;29598899
2017-12-16;38134245;32534349
2017-12-17;38445253;32519245
2017-12-18;38577214;31508840
2017-12-19;36550501;28770738
2017-12-20;35356458;27382550
2017-12-21;34424606;26359182
2017-12-22;30665228;24212636
2017-12-23;33073984;26480304
2017-12-24;30037813;22946339
2017-12-25;31176855;23568556
2017-12-26;34175818;26629644
2017-12-27;33022942;25418915
2017-12-28;31005784;23330980
2017-12-29;31862527;24070371
2017-12-30;29648134;22103257
2017-12-31;31491225;23530101
2018-01-01;31006482;22690397
2018-01-02;33985501;24690982
2018-01-03;35458937;25204473
2018-01-04;35269471;24990449
2018-01-05;37984148;27979559
2018-01-06;38666693;28170952
2018-01-07;39234799;27131793
2018-01-08;37673074;25004199
2018-01-09;39145384;24400599
2018-01-10;38504002;24210879
2018-01-11;35723771;22532677
2018-01-12;37623623;22966429
2018-01-13;39775401;23694027
2018-01-14;38385389;22452888
2018-01-15;38124636;23267417
2018-01-16;30514961;17931519
2018-01-17;31411978;18998712
2018-01-18;31362600;19368382
2018-01-19;31527109;18968620
2018-01-20;35091173;21569677
2018-01-21;31756124;19012211
2018-01-22;29605582;17364786
2018-01-23;30330442;18368182
2018-01-24;31650341;18701822
2018-01-25;31510106;18734406
2018-01-26;31005619;18201378
2018-01-27;32715063;19135875
2018-01-28;34570874;19336584
2018-01-29;33082487;18698710
2018-01-30;30152370;16855929
2018-01-31;30511818;16651255
2018-02-01;28067584;15164094
2018-02-02;25884871;14335162
2018-02-03;27422872;15332135
2018-02-04;23867337;13490440
2018-02-05;20982854;11840055
2018-02-06;22609044;13030477
2018-02-07;23295469;13540639
2018-02-08;23289268;13649365
2018-02-09;24336414;14306743
2018-02-10;24193331;13863306
2018-02-11;23537094;13908653
2018-02-12;24736294;14751853
2018-02-13;24142313;14331850
2018-02-14;25763478;15549738
2018-02-15;26731595;16494321
2018-02-16;27204599;16866015
2018-02-17;28609285;18150327
2018-02-18;28207061;18015172
2018-02-19;28742213;18529699
2018-02-20;29543697;19590469
2018-02-21;26660592;17199873
2018-02-22;25959462;16584982
2018-02-23;26161309;16593346
2018-02-24;25481559;15899721
2018-02-25;25725916;16043273
2018-02-26;27133408;17354716
2018-02-27;27806480;17964973
2018-02-28;27360880;17615376
2018-03-01;28001912;18262700
2018-03-02;28064077;18443370
2018-03-03;28463115;18899988
2018-03-04;28682719;19052239
2018-03-05;28865640;19329876
2018-03-06;27404376;18048442
2018-03-07;25610999;16660288
2018-03-08;24288251;15618169
2018-03-09;23844841;15062526
2018-03-10;23387688;14768898
2018-03-11;24820579;16088186
2018-03-12;23747852;15087818
2018-03-13;23727960;15167171
2018-03-14;21862156;13917000
2018-03-15;21904966;13800194
2018-03-16;22348620;14261596
2018-03-17;20857476;13099025
2018-03-18;20557555;12799174
2018-03-19;21663492;14091815
2018-03-20;22560607;14896241
